make,model,vehicle-class,engine-size-L,num-of-cylinders,transmission,fuel_type,city-mpg,hwy-mpg,co2_emissions-g/km,co2-rating,smog-rating
Aston Martin,DB11 AMR,Minicompact,5.2,12,A8,premium,15.2,22.2,312.0,3,3
Aston Martin,DBS Superleggera,Minicompact,5.2,12,A8,premium,14.3,22.0,324.0,3,3
Aston Martin,Vantage V8,Two-seater,4.0,8,A8,premium,18.0,24.5,270.0,4,3
Aston Martin,Vantage V8,Two-seater,4.0,8,M7,premium,14.1,21.0,333.0,3,3
Audi,A3,Subcompact,2.0,4,AM7,regular,26.7,36.2,182.0,7,7
Audi,A3 quattro,Subcompact,2.0,4,AM7,regular,21.8,29.4,224.0,5,7
Audi,A3 Cabriolet quattro,Subcompact,2.0,4,AM7,regular,21.8,29.4,224.0,5,7
Audi,A4 quattro,Compact,2.0,4,AM7,premium,23.5,32.2,205.0,6,3
Audi,A4 allroad quattro,Station wagon: Small,2.0,4,AM7,premium,23.5,31.8,206.0,6,3
Audi,A5 quattro,Subcompact,2.0,4,AM7,premium,23.5,32.2,205.0,6,3
Audi,A5 Cabriolet quattro,Subcompact,2.0,4,AM7,premium,23.5,31.8,206.0,6,3
Audi,A5 Sportback quattro,Mid-size,2.0,4,AM7,premium,23.5,32.2,205.0,6,3
Audi,A6 quattro,Mid-size,2.0,4,AM7,premium,24.0,31.8,205.0,6,5
Audi,A6 quattro,Mid-size,3.0,6,AM7,premium,21.6,28.7,227.0,5,5
Audi,A6 allroad,Station wagon: Mid-size,3.0,6,AM7,premium,19.9,25.8,247.0,4,5
Audi,A7 quattro,Mid-size,3.0,6,AM7,premium,21.6,28.7,227.0,5,5
Audi,A8L,Full-size,3.0,6,AS8,premium,17.4,26.4,267.0,4,5
Audi,A8L,Full-size,4.0,8,AS8,premium,15.3,22.6,308.0,3,3
Audi,Q3 quattro,SUV: Small,2.0,4,AS8,regular,19.1,27.4,248.0,4,7
Audi,Q5,SUV: Small,2.0,4,AM7,premium,22.0,28.0,226.0,5,5
Audi,Q7,SUV: Standard,2.0,4,AS8,premium,19.0,23.3,264.0,4,3
Audi,Q7,SUV: Standard,3.0,6,AS8,premium,17.0,20.6,296.0,3,5
Audi,Q8,SUV: Standard,3.0,6,AS8,premium,17.0,20.6,296.0,3,5
Audi,R8 Coupe,Two-seater,5.2,10,AM7,premium,13.4,20.1,347.0,2,1
Audi,R8 Spyder,Two-seater,5.2,10,AM7,premium,13.4,20.1,347.0,2,1
Audi,RS 3,Subcompact,2.5,5,AM7,premium,19.4,28.0,243.0,5,3
Audi,RS Q8,SUV: Standard,4.0,8,AS8,premium,13.1,19.1,360.0,2,3
Audi,S3,Subcompact,2.0,4,AM7,premium,22.0,29.4,222.0,5,3
Audi,S4,Compact,3.0,6,AS8,premium,19.9,26.4,245.0,5,5
Audi,S5,Subcompact,3.0,6,AS8,premium,19.9,26.4,245.0,5,5
Audi,S5 Cabriolet,Subcompact,3.0,6,AS8,premium,19.4,25.8,252.0,4,5
Audi,S5 Sportback,Mid-size,3.0,6,AS8,premium,19.9,26.4,245.0,5,5
Audi,S6,Mid-size,2.9,6,AS8,premium,18.2,27.7,255.0,4,5
Audi,S7,Mid-size,2.9,6,AS8,premium,18.2,27.7,255.0,4,5
Audi,S8,Full-size,4.0,8,AS8,premium,13.4,22.0,339.0,2,3
Audi,SQ5,SUV: Small,3.0,6,AS8,premium,18.0,22.8,276.0,4,5
Audi,SQ7,SUV: Standard,4.0,8,AS8,premium,14.7,21.4,321.0,3,3
Audi,SQ8,SUV: Standard,4.0,8,AS8,premium,14.9,20.6,322.0,3,3
Audi,TT Coupe quattro,Subcompact,2.0,4,AM7,regular,22.8,30.5,213.0,5,7
Audi,TT Roadster quattro,Two-seater,2.0,4,AM7,regular,22.8,30.5,213.0,5,7
Audi,TT RS,Subcompact,2.5,5,AM7,premium,19.4,28.7,241.0,5,3
Audi,TTS Coupe,Subcompact,2.0,4,AM7,premium,22.6,28.7,220.0,5,3
Bentley,Bentayga,SUV: Standard,4.0,8,AS8,premium,14.3,23.3,315.0,3,3
Bentley,Bentayga,SUV: Standard,6.0,12,AS8,premium,11.8,17.0,401.0,1,3
Bentley,Continental GT,Compact,4.0,8,AM8,premium,15.6,25.8,291.0,3,3
Bentley,Continental GT,Compact,6.0,12,AM8,premium,12.4,20.3,364.0,2,3
Bentley,Continental GT Convertible,Subcompact,4.0,8,AM8,premium,15.6,25.8,291.0,3,3
Bentley,Continental GT Convertible,Subcompact,6.0,12,AM8,premium,12.3,19.3,373.0,2,3
Bentley,Flying Spur,Mid-size,6.0,12,AM8,premium,12.3,19.3,373.0,2,3
Bentley,Mulsanne,Mid-size,6.8,8,AS8,premium,9.6,16.3,465.0,1,1
BMW,228i xDrive Gran Coupe,Compact,2.0,4,AS8,premium,23.1,32.7,205.0,6,7
BMW,230i Cabriolet,Subcompact,2.0,4,AS8,premium,23.3,33.6,204.0,6,7
BMW,230i xDrive Cabriolet,Subcompact,2.0,4,AS8,premium,21.6,31.4,219.0,5,7
BMW,230i Coupe,Subcompact,2.0,4,AS8,premium,24.8,31.8,200.0,6,7
BMW,230i xDrive Coupe,Subcompact,2.0,4,AS8,premium,21.6,31.4,219.0,5,7
BMW,330i xDrive Sedan,Compact,2.0,4,AS8,premium,24.8,34.1,195.0,6,7
BMW,430i xDrive Cabriolet,Subcompact,2.0,4,AS8,premium,22.2,32.2,213.0,5,7
BMW,430i Coupe,Compact,2.0,4,AS8,premium,23.3,33.6,204.0,6,7
BMW,430i xDrive Coupe,Compact,2.0,4,AS8,premium,21.6,31.4,219.0,5,7
BMW,430i xDrive Gran Coupe,Compact,2.0,4,AS8,premium,21.6,31.4,219.0,5,7
BMW,440i xDrive Cabriolet,Subcompact,3.0,6,AS8,premium,19.0,27.7,249.0,4,3
BMW,440i Coupe,Compact,3.0,6,AS8,premium,20.6,29.0,231.0,5,3
BMW,440i xDrive Coupe,Compact,3.0,6,AS8,premium,20.6,28.3,233.0,5,3
BMW,440i xDrive Coupe,Compact,3.0,6,M6,premium,18.1,27.7,257.0,4,3
BMW,440i xDrive Gran Coupe,Compact,3.0,6,AS8,premium,20.6,28.3,233.0,5,3
BMW,530i xDrive Sedan,Mid-size,2.0,4,AS8,premium,23.8,31.4,206.0,6,7
BMW,540i xDrive Sedan,Mid-size,3.0,6,AS8,premium,22.0,29.0,222.0,5,5
BMW,750i xDrive Sedan,Full-size,4.4,8,AS8,premium,16.2,23.8,290.0,3,3
BMW,750Li xDrive Sedan,Full-size,4.4,8,AS8,premium,16.2,23.8,290.0,3,3
BMW,Alpina B7 xDrive,Full-size,4.4,8,AS8,premium,16.2,23.8,290.0,3,3
BMW,M2 Competition,Subcompact,3.0,6,AM7,premium,16.7,22.8,290.0,3,3
BMW,M2 Competition,Subcompact,3.0,6,M6,premium,17.6,24.5,273.0,4,3
BMW,M235i xDrive Gran Coupe,Compact,2.0,4,AS8,premium,22.8,32.2,208.0,6,3
BMW,M240i Cabriolet,Subcompact,3.0,6,AS8,premium,20.6,29.0,231.0,5,3
BMW,M240i Cabriolet,Subcompact,3.0,6,M6,premium,18.5,26.7,255.0,4,3
BMW,M240i xDrive Cabriolet,Subcompact,3.0,6,AS8,premium,20.6,28.3,233.0,5,3
BMW,M240i Coupe,Subcompact,3.0,6,AS8,premium,20.6,29.0,231.0,5,3
BMW,M240i Coupe M Performance,Subcompact,3.0,6,AS8,premium,20.6,29.0,231.0,5,3
BMW,M240i Coupe,Subcompact,3.0,6,M6,premium,18.5,26.7,255.0,4,3
BMW,M240i Coupe M Performance,Subcompact,3.0,6,M6,premium,18.5,26.7,255.0,4,3
BMW,M240i xDrive Coupe,Subcompact,3.0,6,AS8,premium,20.6,28.3,233.0,5,3
BMW,M240i xDrive Coupe M Performance,Subcompact,3.0,6,AS8,premium,20.6,28.3,233.0,5,3
BMW,M340i xDrive Sedan,Compact,3.0,6,AS8,premium,20.6,28.3,233.0,5,5
BMW,M4 Cabriolet,Subcompact,3.0,6,AM7,premium,16.2,22.4,299.0,3,3
BMW,M4 Cabriolet Competition,Subcompact,3.0,6,AM7,premium,16.2,22.4,299.0,3,3
BMW,M4 Cabriolet,Subcompact,3.0,6,M6,premium,17.0,25.0,280.0,4,3
BMW,M4 Cabriolet Competition,Subcompact,3.0,6,M6,premium,17.0,25.0,280.0,4,3
BMW,M4 Coupe,Compact,3.0,6,AM7,premium,16.7,22.8,290.0,3,3
BMW,M4 Coupe Competition,Compact,3.0,6,AM7,premium,16.7,22.8,290.0,3,3
BMW,M4 Coupe,Compact,3.0,6,M6,premium,17.6,24.5,273.0,4,3
BMW,M4 Coupe Competition,Compact,3.0,6,M6,premium,17.6,24.5,273.0,4,3
BMW,M4 CS,Compact,3.0,6,AM7,premium,16.7,22.8,290.0,3,3
BMW,M5 Sedan,Mid-size,4.4,8,AS8,premium,14.7,21.4,322.0,3,3
BMW,M5 Competition,Mid-size,4.4,8,AS8,premium,14.7,21.4,322.0,3,3
BMW,M550i xDrive Sedan,Mid-size,4.4,8,AS8,premium,17.3,25.3,273.0,4,3
BMW,M760i xDrive Sedan,Full-size,6.6,12,AS8,premium,13.2,19.8,354.0,2,3
BMW,M8 Cabriolet,Subcompact,4.4,8,AS8,premium,14.7,21.4,322.0,3,3
BMW,M8 Cabriolet Competition,Subcompact,4.4,8,AS8,premium,14.7,21.4,322.0,3,3
BMW,M8 Coupe,Subcompact,4.4,8,AS8,premium,14.7,21.4,322.0,3,3
BMW,M8 Coupe Competition,Subcompact,4.4,8,AS8,premium,14.7,21.4,322.0,3,3
BMW,M8 Gran Coupe,Mid-size,4.4,8,AS8,premium,14.7,21.4,322.0,3,3
BMW,M8 Gran Coupe Competition,Mid-size,4.4,8,AS8,premium,14.7,21.4,322.0,3,3
BMW,M850i xDrive Cabriolet,Subcompact,4.4,8,AS8,premium,16.2,23.8,290.0,3,3
BMW,M850i xDrive Coupe,Subcompact,4.4,8,AS8,premium,17.3,25.3,273.0,4,3
BMW,M850i xDrive Gran Coupe,Mid-size,4.4,8,AS8,premium,16.2,23.8,290.0,3,3
BMW,X1 xDrive28i,SUV: Small,2.0,4,AS8,premium,22.8,30.5,213.0,5,7
BMW,X2 xDrive28i,SUV: Small,2.0,4,AS8,premium,23.8,30.9,207.0,6,7
BMW,X2 M35i,SUV: Small,2.0,4,AS8,premium,23.5,30.2,210.0,5,3
BMW,X3 xDrive30i,SUV: Small,2.0,4,AS8,premium,23.5,28.7,215.0,5,7
BMW,X3 M,SUV: Small,3.0,6,AS8,premium,14.2,19.4,339.0,2,3
BMW,X3 M Competition,SUV: Small,3.0,6,AS8,premium,14.2,19.4,339.0,2,3
BMW,X3 M40i,SUV: Small,3.0,6,AS8,premium,20.8,27.0,235.0,5,5
BMW,X4 xDrive30i,SUV: Small,2.0,4,AS8,premium,23.5,28.7,215.0,5,7
BMW,X4 M,SUV: Small,3.0,6,AS8,premium,14.2,19.4,339.0,2,3
BMW,X4 M Competition,SUV: Small,3.0,6,AS8,premium,14.2,19.4,339.0,2,3
BMW,X4 M40i,SUV: Small,3.0,6,AS8,premium,20.8,27.0,235.0,5,5
BMW,X5 xDrive40i,SUV: Standard,3.0,6,AS8,premium,20.1,25.8,245.0,5,3
BMW,X5 xDrive50i,SUV: Standard,4.4,8,AS8,premium,16.2,22.0,302.0,3,3
BMW,X5 M50i,SUV: Standard,4.4,8,AS8,premium,16.2,22.0,302.0,3,3
BMW,X6 xDrive40i,SUV: Standard,3.0,6,AS8,premium,20.1,25.8,245.0,5,3
BMW,X6 M50i,SUV: Standard,4.4,8,AS8,premium,16.2,22.0,302.0,3,3
BMW,X7 xDrive40i,SUV: Standard,3.0,6,AS8,premium,19.6,25.0,254.0,4,3
BMW,X7 xDrive50i,SUV: Standard,4.4,8,AS8,premium,15.2,20.6,318.0,3,3
BMW,X7 M50i,SUV: Standard,4.4,8,AS8,premium,15.2,20.6,318.0,3,3
BMW,Z4 sDrive30i,Two-seater,2.0,4,AS8,premium,24.8,31.8,200.0,6,7
BMW,Z4 M40i,Two-seater,3.0,6,AS8,premium,22.8,29.4,216.0,5,5
Bugatti,Chiron,Two-seater,8.0,16,AM7,premium,8.8,14.2,522.0,1,1
Bugatti,Divo,Two-seater,8.0,16,AM7,premium,8.6,13.1,537.0,1,1
Buick,Enclave,SUV: Standard,3.6,6,A9,regular,18.1,25.8,263.0,4,6
Buick,Enclave AWD,SUV: Standard,3.6,6,A9,regular,17.3,24.5,277.0,4,6
Buick,Encore,SUV: Small,1.4,4,AS6,regular,25.0,30.2,204.0,6,5
Buick,Encore AWD,SUV: Small,1.4,4,AS6,regular,23.5,29.4,214.0,5,5
Buick,Encore GX,SUV: Small,1.2,3,AV,regular,26.1,30.5,198.0,6,7
Buick,Encore GX AWD,SUV: Small,1.3,3,A9,regular,26.1,29.4,199.0,6,7
Buick,Envision AWD,SUV: Small,2.0,4,A9,premium,20.1,25.0,250.0,4,5
Buick,Envision AWD,SUV: Small,2.5,4,A6,regular,21.2,27.4,234.0,5,5
Buick,Regal,Mid-size,2.0,4,AS9,premium,22.8,31.8,211.0,5,5
Buick,Regal AWD,Mid-size,2.0,4,AS8,premium,21.4,29.4,227.0,5,5
Buick,Regal AWD,Mid-size,3.6,6,AS9,regular,18.8,26.7,255.0,4,6
Cadillac,CT4,Compact,2.0,4,AS8,premium,23.3,34.6,203.0,6,6
Cadillac,CT4,Compact,2.7,4,AS10,premium,20.5,29.4,232.0,5,6
Cadillac,CT4 AWD,Compact,2.0,4,AS8,premium,22.6,31.8,213.0,5,6
Cadillac,CT4 AWD,Compact,2.7,4,AS10,premium,20.1,28.0,238.0,5,6
Cadillac,CT4-V,Compact,2.7,4,AS10,premium,20.5,28.7,234.0,5,6
Cadillac,CT4-V AWD,Compact,2.7,4,AS10,premium,20.1,28.0,238.0,5,6
Cadillac,CT5,Mid-size,2.0,4,AS10,premium,22.6,32.2,209.0,5,6
Cadillac,CT5,Mid-size,3.0,6,AS10,premium,18.7,25.8,256.0,4,5
Cadillac,CT5 AWD,Mid-size,2.0,4,AS10,premium,21.4,30.5,221.0,5,6
Cadillac,CT5 AWD,Mid-size,3.0,6,AS10,premium,17.7,25.3,268.0,4,5
Cadillac,CT5-V,Mid-size,3.0,6,AS10,premium,18.0,25.8,263.0,4,5
Cadillac,CT5-V AWD,Mid-size,3.0,6,AS10,premium,17.0,25.0,276.0,4,5
Cadillac,CT6 AWD,Full-size,3.6,6,AS10,regular,18.2,27.0,259.0,4,5
Cadillac,CT6 AWD,Full-size,4.2,8,AS10,premium,13.6,24.8,324.0,3,3
Cadillac,Escalade 4WD,SUV: Standard,6.2,8,A10,premium,14.1,21.2,333.0,3,3
Cadillac,XT4,SUV: Small,2.0,4,AS9,premium,24.0,30.2,209.0,5,6
Cadillac,XT4 AWD,SUV: Small,2.0,4,AS9,premium,21.6,28.7,227.0,5,6
Cadillac,XT5,SUV: Small,2.0,4,AS9,premium,21.4,28.3,227.0,5,6
Cadillac,XT5 AWD,SUV: Small,2.0,4,AS9,premium,21.0,26.4,235.0,5,6
Cadillac,XT5 AWD,SUV: Small,3.6,6,AS9,regular,17.6,25.0,270.0,4,6
Cadillac,XT6 AWD,SUV: Small,3.6,6,AS9,regular,17.4,24.2,277.0,4,6
Chevrolet,Blazer,SUV: Small,2.0,4,A9,regular,21.4,28.3,225.0,5,6
Chevrolet,Blazer,SUV: Small,2.5,4,A9,regular,20.8,26.4,238.0,5,5
Chevrolet,Blazer AWD,SUV: Small,2.0,4,A9,regular,20.8,27.0,232.0,5,6
Chevrolet,Blazer AWD,SUV: Small,3.6,6,A9,regular,18.0,25.0,269.0,4,6
Chevrolet,Camaro,Subcompact,2.0,4,AS8,premium,21.6,30.9,219.0,5,5
Chevrolet,Camaro,Subcompact,2.0,4,M6,premium,19.8,29.8,235.0,5,5
Chevrolet,Camaro,Subcompact,3.6,6,AS10,regular,18.8,29.0,247.0,4,6
Chevrolet,Camaro,Subcompact,3.6,6,M6,regular,16.4,26.1,280.0,4,6
Chevrolet,Camaro SS,Subcompact,6.2,8,AS10,premium,16.1,26.4,282.0,4,1
Chevrolet,Camaro SS,Subcompact,6.2,8,M6,premium,15.8,23.8,296.0,3,1
Chevrolet,Camaro ZL1,Subcompact,6.2,8,AS10,premium,12.9,21.0,355.0,2,1
Chevrolet,Camaro ZL1,Subcompact,6.2,8,M6,premium,13.7,19.6,349.0,2,1
Chevrolet,Colorado,Pickup truck: Small,2.5,4,A6,regular,19.4,25.6,252.0,4,5
Chevrolet,Colorado,Pickup truck: Small,2.8,4,A6,diesel,19.9,29.8,270.0,4,3
Chevrolet,Colorado,Pickup truck: Small,3.6,6,A8,regular,17.6,24.5,273.0,4,5
Chevrolet,Colorado 4WD,Pickup truck: Small,2.5,4,A6,regular,18.7,24.2,265.0,4,5
Chevrolet,Colorado 4WD,Pickup truck: Small,2.8,4,A6,diesel,19.1,27.7,284.0,3,3
Chevrolet,Colorado 4WD,Pickup truck: Small,3.6,6,A8,regular,16.8,23.8,286.0,3,5
Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,2.8,4,A6,diesel,17.7,22.2,326.0,3,3
Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,3.6,6,A8,regular,15.7,18.1,331.0,3,5
Chevrolet,Corvette,Two-seater,6.2,8,AS8,premium,15.3,27.0,290.0,3,3
Chevrolet,Equinox,SUV: Small,1.5,4,A6,regular,26.4,30.5,196.0,6,7
Chevrolet,Equinox AWD,SUV: Small,1.5,4,A6,regular,25.3,29.4,204.0,6,7
Chevrolet,Equinox AWD,SUV: Small,2.0,4,A9,premium,21.6,28.3,228.0,5,5
Chevrolet,Impala,Full-size,3.6,6,AS6,regular,18.4,27.7,255.0,4,5
Chevrolet,Impala,Full-size,3.6,6,AS6,ethanol,13.7,20.3,246.0,4,5
Chevrolet,Malibu,Mid-size,1.5,4,AV,regular,28.7,35.6,189.0,6,6
Chevrolet,Malibu,Mid-size,2.0,4,A9,premium,22.4,31.8,214.0,5,5
Chevrolet,Silverado,Pickup truck: Standard,2.7,4,A8,regular,19.8,22.8,262.0,4,6
Chevrolet,Silverado WT,Pickup truck: Standard,2.7,4,A8,regular,18.8,21.8,275.0,4,6
Chevrolet,Silverado,Pickup truck: Standard,3.0,6,A10,diesel,23.1,32.7,238.0,5,1
Chevrolet,Silverado,Pickup truck: Standard,4.3,6,A6,regular,15.6,20.5,318.0,3,6
Chevrolet,Silverado,Pickup truck: Standard,5.3,8,A6,regular,14.8,20.6,326.0,3,5
Chevrolet,Silverado FFV,Pickup truck: Standard,5.3,8,A6,regular,14.7,18.7,339.0,2,3
Chevrolet,Silverado FFV,Pickup truck: Standard,5.3,8,A6,ethanol,10.6,14.5,326.0,3,3
Chevrolet,Silverado,Pickup truck: Standard,5.3,8,A8,regular,16.9,23.3,286.0,3,5
Chevrolet,Silverado 4WD,Pickup truck: Standard,2.7,4,A8,regular,18.8,21.8,275.0,4,6
Chevrolet,Silverado WT 4WD,Pickup truck: Standard,2.7,4,A8,regular,18.5,21.4,280.0,4,6
Chevrolet,Silverado 4WD,Pickup truck: Standard,3.0,6,A10,diesel,22.6,29.4,252.0,4,1
Chevrolet,Silverado 4WD,Pickup truck: Standard,4.3,6,A6,regular,15.0,19.6,331.0,3,6
Chevrolet,Silverado 4WD Custom Trail Boss,Pickup truck: Standard,4.3,6,A6,regular,14.4,18.2,349.0,2,6
Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A6,regular,14.8,19.9,331.0,3,5
Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A6,regular,14.2,18.1,350.0,2,3
Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A6,ethanol,10.5,13.0,342.0,2,3
Chevrolet,Silverado 4WD Custom Trail Boss,Pickup truck: Standard,5.3,8,A6,regular,14.1,18.0,354.0,2,5
Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A8,regular,16.0,22.0,303.0,3,5
Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A10,regular,16.4,22.2,296.0,3,5
Chevrolet,Silverado 4WD LT Trail Boss,Pickup truck: Standard,5.3,8,A10,regular,16.0,21.0,307.0,3,5
Chevrolet,Silverado 4WD,Pickup truck: Standard,6.2,8,A10,premium,15.7,19.6,321.0,3,3
Chevrolet,Silverado 4WD Custom Trail Boss,Pickup truck: Standard,6.2,8,A10,premium,14.0,17.7,357.0,2,3
Chevrolet,Silverado 4WD LT Trail Boss,Pickup truck: Standard,6.2,8,A10,premium,15.0,19.0,332.0,3,3
Chevrolet,Spark,Subcompact,1.4,4,AV,regular,29.8,37.9,167.0,7,5
Chevrolet,Spark,Subcompact,1.4,4,M5,regular,29.4,37.9,170.0,7,5
Chevrolet,Suburban,SUV: Standard,5.3,8,A6,regular,15.0,22.4,314.0,3,3
Chevrolet,Suburban FFV,SUV: Standard,5.3,8,A6,regular,15.0,22.4,314.0,3,3
Chevrolet,Suburban FFV,SUV: Standard,5.3,8,A6,ethanol,11.1,16.9,298.0,3,3
Chevrolet,Suburban 4WD,SUV: Standard,5.3,8,A6,regular,14.0,20.8,337.0,2,3
Chevrolet,Suburban 4WD FFV,SUV: Standard,5.3,8,A6,regular,14.0,20.8,337.0,2,3
Chevrolet,Suburban 4WD FFV,SUV: Standard,5.3,8,A6,ethanol,10.6,15.4,319.0,3,3
Chevrolet,Suburban 4WD,SUV: Standard,6.2,8,A10,premium,13.7,20.6,343.0,2,3
Chevrolet,Tahoe,SUV: Standard,5.3,8,A6,regular,15.0,22.4,314.0,3,3
Chevrolet,Tahoe FFV,SUV: Standard,5.3,8,A6,regular,15.0,22.4,314.0,3,3
Chevrolet,Tahoe FFV,SUV: Standard,5.3,8,A6,ethanol,11.1,16.9,298.0,3,3
Chevrolet,Tahoe 4WD,SUV: Standard,5.3,8,A6,regular,14.7,21.0,325.0,3,3
Chevrolet,Tahoe 4WD FFV,SUV: Standard,5.3,8,A6,regular,14.7,21.0,325.0,3,3
Chevrolet,Tahoe 4WD FFV,SUV: Standard,5.3,8,A6,ethanol,10.8,16.4,305.0,3,3
Chevrolet,Tahoe 4WD,SUV: Standard,6.2,8,A10,premium,14.3,21.6,327.0,3,3
Chevrolet,Traverse,SUV: Standard,3.6,6,A9,regular,18.1,26.7,261.0,4,6
Chevrolet,Traverse AWD,SUV: Standard,3.6,6,A9,regular,17.3,24.5,276.0,4,6
Chevrolet,Trax,SUV: Small,1.4,4,AS6,regular,25.8,30.9,196.0,6,5
Chevrolet,Trax AWD,SUV: Small,1.4,4,AS6,regular,23.5,29.4,214.0,5,5
Chrysler,300,Full-size,3.6,6,A8,regular,19.0,30.2,242.0,5,3
Chrysler,300,Full-size,5.7,8,A8,regular,16.0,25.0,289.0,3,3
Chrysler,300 AWD,Full-size,3.6,6,A8,regular,18.4,27.0,258.0,4,3
Chrysler,Pacifica (Stop-Start),Minivan,3.6,6,A9,regular,19.0,28.0,249.0,4,7
Chrysler,Pacifica AWD (Stop-Start),Minivan,3.6,6,A9,regular,16.9,25.6,276.0,4,7
Chrysler,Voyager (Stop-Start),Minivan,3.6,6,A9,regular,19.0,28.0,249.0,4,7
Dodge,Challenger,Mid-size,3.6,6,A8,regular,19.0,30.2,242.0,5,3
Dodge,Challenger (MDS),Mid-size,5.7,8,A8,regular,16.0,25.0,289.0,3,3
Dodge,Challenger,Mid-size,5.7,8,M6,premium,15.1,23.3,307.0,3,1
Dodge,Challenger (MDS),Mid-size,6.4,8,A8,premium,14.9,24.5,305.0,3,1
Dodge,Challenger,Mid-size,6.4,8,M6,premium,14.1,22.6,325.0,3,1
Dodge,Challenger AWD,Mid-size,3.6,6,A8,regular,18.4,27.0,258.0,4,3
Dodge,Challenger Widebody (MDS),Mid-size,6.4,8,A8,premium,14.9,24.5,305.0,3,1
Dodge,Challenger Widebody (MDS),Mid-size,6.4,8,M6,premium,14.1,22.6,325.0,3,1
Dodge,Challenger SRT Hellcat,Mid-size,6.2,8,A8,premium,13.4,22.0,339.0,2,1
Dodge,Challenger SRT Hellcat,Mid-size,6.2,8,M6,premium,13.0,20.6,352.0,2,1
Dodge,Challenger SRT Hellcat Widebody,Mid-size,6.2,8,A8,premium,12.6,21.0,358.0,2,1
Dodge,Challenger SRT Hellcat Widebody,Mid-size,6.2,8,M6,premium,13.0,20.6,352.0,2,1
Dodge,Charger,Full-size,3.6,6,A5,regular,17.2,26.1,271.0,4,3
Dodge,Charger,Full-size,3.6,6,A8,regular,19.0,30.2,242.0,5,3
Dodge,Charger (MDS),Full-size,5.7,8,A8,regular,16.0,25.0,289.0,3,3
Dodge,Charger (MDS),Full-size,6.4,8,A8,premium,14.9,24.5,305.0,3,1
Dodge,Charger AWD,Full-size,3.6,6,A8,regular,18.4,27.0,258.0,4,3
Dodge,Charger Widebody (MDS),Full-size,6.4,8,A8,premium,14.9,24.5,305.0,3,1
Dodge,Charger SRT Hellcat Widebody,Full-size,6.2,8,A8,premium,12.4,20.5,368.0,2,1
Dodge,Durango AWD,SUV: Standard,3.6,6,A8,regular,18.5,24.5,265.0,4,7
Dodge,Durango AWD,SUV: Standard,5.7,8,A8,regular,14.1,21.6,331.0,3,3
Dodge,Durango AWD SRT,SUV: Standard,6.4,8,A8,premium,12.9,19.3,363.0,2,1
Dodge,Grand Caravan,Minivan,3.6,6,A6,regular,17.2,25.0,276.0,4,5
Dodge,Journey,SUV: Small,2.4,4,A4,regular,18.5,25.6,261.0,4,3
FIAT,124 Spider,Two-seater,1.4,4,A6,regular,25.3,36.2,187.0,6,3
FIAT,124 Spider,Two-seater,1.4,4,M6,regular,26.1,35.1,185.0,7,3
FIAT,500L,Station wagon: Small,1.4,4,A6,regular,22.0,29.8,221.0,5,3
